"","entry_exit_provider_program_type_code","ee_uid","client_id","entry_exit_review_uid","entry_exit_review_point_in_time_type","entry_exit_review_date","entry_exit_review_date_updated"
"174","PH - Housing with services (no disability required for entry) (HUD)",783543,414969,43044,"Interim Review","11/9/2016","12/6/2016"
"175","PH - Housing with services (no disability required for entry) (HUD)",783543,414969,63964,"Interim Review","5/9/2017","10/25/2017"
"176","PH - Housing with services (no disability required for entry) (HUD)",783543,414969,66502,"Interim Review","11/2/2017","12/4/2017"
"177","PH - Housing with services (no disability required for entry) (HUD)",783543,414969,100092,"Interim Review","5/9/2018","12/13/2018"
"178","PH - Housing with services (no disability required for entry) (HUD)",783543,414969,100099,"Interim Review","11/9/2018","12/13/2018"
"179","PH - Housing with services (no disability required for entry) (HUD)",783544,414968,43045,"Interim Review","11/9/2016","12/6/2016"
"180","PH - Housing with services (no disability required for entry) (HUD)",783544,414968,63965,"Interim Review","5/9/2017","10/25/2017"
"181","PH - Housing with services (no disability required for entry) (HUD)",783544,414968,66503,"Interim Review","11/2/2017","12/4/2017"
"182","PH - Housing with services (no disability required for entry) (HUD)",783544,414968,100093,"Interim Review","5/9/2018","12/13/2018"
"183","PH - Housing with services (no disability required for entry) (HUD)",783544,414968,100100,"Interim Review","11/9/2018","12/13/2018"
"184","PH - Housing with services (no disability required for entry) (HUD)",783545,414967,43046,"Interim Review","11/9/2016","12/6/2016"
"185","PH - Housing with services (no disability required for entry) (HUD)",783545,414967,63966,"Interim Review","5/9/2017","10/25/2017"
"186","PH - Housing with services (no disability required for entry) (HUD)",783545,414967,66504,"Interim Review","11/2/2017","12/4/2017"
"187","PH - Housing with services (no disability required for entry) (HUD)",783545,414967,100094,"Interim Review","5/9/2018","12/13/2018"
"188","PH - Housing with services (no disability required for entry) (HUD)",783545,414967,100101,"Interim Review","11/9/2018","12/13/2018"
"189","PH - Housing with services (no disability required for entry) (HUD)",783546,414965,43047,"Interim Review","11/9/2016","12/6/2016"
"190","PH - Housing with services (no disability required for entry) (HUD)",783546,414965,63967,"Interim Review","5/9/2017","10/25/2017"
"191","PH - Housing with services (no disability required for entry) (HUD)",783546,414965,66505,"Interim Review","11/2/2017","12/4/2017"
"192","PH - Housing with services (no disability required for entry) (HUD)",783546,414965,100095,"Interim Review","5/9/2018","12/13/2018"
"193","PH - Housing with services (no disability required for entry) (HUD)",783546,414965,100102,"Interim Review","11/9/2018","12/13/2018"
"194","PH - Housing with services (no disability required for entry) (HUD)",783547,417053,43048,"Interim Review","11/9/2016","12/6/2016"
"195","PH - Housing with services (no disability required for entry) (HUD)",783547,417053,63968,"Interim Review","5/9/2017","10/25/2017"
"196","PH - Housing with services (no disability required for entry) (HUD)",783547,417053,66506,"Interim Review","11/2/2017","12/4/2017"
"197","PH - Housing with services (no disability required for entry) (HUD)",783547,417053,100096,"Interim Review","5/9/2018","12/13/2018"
"198","PH - Housing with services (no disability required for entry) (HUD)",783547,417053,100103,"Interim Review","11/9/2018","12/13/2018"
"199","PH - Housing with services (no disability required for entry) (HUD)",783548,414966,43049,"Interim Review","11/9/2016","12/6/2016"
"200","PH - Housing with services (no disability required for entry) (HUD)",783548,414966,63969,"Interim Review","5/9/2017","10/25/2017"
"201","PH - Housing with services (no disability required for entry) (HUD)",783548,414966,66507,"Interim Review","11/2/2017","12/4/2017"
"202","PH - Housing with services (no disability required for entry) (HUD)",783548,414966,100097,"Interim Review","5/9/2018","12/13/2018"
"203","PH - Housing with services (no disability required for entry) (HUD)",783548,414966,100104,"Interim Review","11/9/2018","12/13/2018"
"204","PH - Housing with services (no disability required for entry) (HUD)",801532,428532,44603,"Interim Review","1/11/2017","1/11/2017"
"205","PH - Housing with services (no disability required for entry) (HUD)",801532,428532,45699,"Interim Review","1/21/2017","1/26/2017"
"206","PH - Housing with services (no disability required for entry) (HUD)",801532,428532,71500,"Interim Review","2/1/2018","2/2/2018"
"207","PH - Housing with services (no disability required for entry) (HUD)",801532,428532,90293,"Interim Review","8/1/2018","8/2/2018"
"208","PH - Housing with services (no disability required for entry) (HUD)",801532,428532,103840,"Interim Review","2/1/2019","2/1/2019"
"209","PH - Housing with services (no disability required for entry) (HUD)",801533,428543,44604,"Interim Review","1/11/2017","1/11/2017"
"210","PH - Housing with services (no disability required for entry) (HUD)",801533,428543,45700,"Interim Review","1/21/2017","1/26/2017"
"211","PH - Housing with services (no disability required for entry) (HUD)",801533,428543,71501,"Interim Review","2/1/2018","2/2/2018"
"212","PH - Housing with services (no disability required for entry) (HUD)",801533,428543,90294,"Interim Review","8/1/2018","8/2/2018"
"213","PH - Housing with services (no disability required for entry) (HUD)",801533,428543,103841,"Interim Review","2/1/2019","2/1/2019"
"214","PH - Housing with services (no disability required for entry) (HUD)",801534,428544,44605,"Interim Review","1/11/2017","1/11/2017"
"215","PH - Housing with services (no disability required for entry) (HUD)",801534,428544,45701,"Interim Review","1/21/2017","1/26/2017"
"216","PH - Housing with services (no disability required for entry) (HUD)",801534,428544,71502,"Interim Review","2/1/2018","2/2/2018"
"217","PH - Housing with services (no disability required for entry) (HUD)",801534,428544,90295,"Interim Review","8/1/2018","8/2/2018"
"218","PH - Housing with services (no disability required for entry) (HUD)",801534,428544,103842,"Interim Review","2/1/2019","2/1/2019"
"219","PH - Housing with services (no disability required for entry) (HUD)",801535,428546,44606,"Interim Review","1/11/2017","1/11/2017"
"220","PH - Housing with services (no disability required for entry) (HUD)",801535,428546,45702,"Interim Review","1/21/2017","1/26/2017"
"221","PH - Housing with services (no disability required for entry) (HUD)",801535,428546,71503,"Interim Review","2/1/2018","2/2/2018"
"222","PH - Housing with services (no disability required for entry) (HUD)",801535,428546,90296,"Interim Review","8/1/2018","8/2/2018"
"223","PH - Housing with services (no disability required for entry) (HUD)",801535,428546,103843,"Interim Review","2/1/2019","2/1/2019"
"224","PH - Housing with services (no disability required for entry) (HUD)",801536,428545,44607,"Interim Review","1/11/2017","1/11/2017"
"225","PH - Housing with services (no disability required for entry) (HUD)",801536,428545,45703,"Interim Review","1/21/2017","1/26/2017"
"226","PH - Housing with services (no disability required for entry) (HUD)",801536,428545,71504,"Interim Review","2/1/2018","2/2/2018"
"227","PH - Housing with services (no disability required for entry) (HUD)",801536,428545,90297,"Interim Review","8/1/2018","8/2/2018"
"228","PH - Housing with services (no disability required for entry) (HUD)",801536,428545,103844,"Interim Review","2/1/2019","2/1/2019"
